sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,27444,3.885,0.419,20.782,
Sensor_0x53,27478,-3.485,-2.641,-22.838,
Sensor_0x53,27512,0.355,-0.521,11.442,
Sensor_0x53,27548,-0.895,0.419,5.952,
Sensor_0x53,27582,-2.855,-2.801,-16.878,
Sensor_0x53,27617,3.885,-0.131,17.092,
Sensor_0x53,27652,-21.295,-13.151,-67.328,
Sensor_0x53,27687,12.045,-10.481,-3.228,
Sensor_0x53,27720,-11.175,10.309,-17.978,
Sensor_0x53,27754,0.125,-7.031,21.872,
Sensor_0x53,27788,10.795,-3.971,26.972,
Sensor_0x53,27823,-9.375,80.989,151.872,
Sensor_0x53,27856,-42.715,8.579,-109.058,
Sensor_0x53,27887,-93.625,8.969,31.992,
Sensor_0x53,27922,-59.735,-3.501,61.412,
Sensor_0x53,27955,-33.535,-5.621,-95.808,
Sensor_0x53,27988,-25.925,4.889,69.972,
Sensor_0x53,28022,-53.225,-0.521,2.422,
Sensor_0x53,28055,-39.495,-7.581,-53.438,
Sensor_0x53,28089,4.355,5.829,77.652,
Sensor_0x53,28122,-32.675,-3.821,-37.748,
Sensor_0x53,28155,-30.555,-1.071,-7.698,
Sensor_0x53,28191,-2.935,2.929,49.252,
Sensor_0x53,28224,-14.865,-4.131,-55.168,
Sensor_0x53,28257,-12.355,0.889,23.762,
Sensor_0x53,28292,-11.175,0.259,18.032,
Sensor_0x53,28325,-11.095,-4.601,-44.338,
Sensor_0x53,28359,3.265,1.749,38.662,
Sensor_0x53,28393,-12.195,-1.461,-8.408,
Sensor_0x53,28426,-10.705,-1.781,-18.688,
Sensor_0x53,28462,5.065,1.749,33.962,
Sensor_0x53,28496,-7.405,-2.641,-30.998,
Sensor_0x53,28531,-4.345,0.339,10.582,
Sensor_0x53,28567,-1.135,0.189,15.522,
Sensor_0x53,28600,-4.665,-2.331,-30.218,
Sensor_0x53,28635,3.805,1.829,24.072,
Sensor_0x53,28671,-4.035,-0.991,-8.018,
Sensor_0x53,28704,-3.645,-1.071,-10.058,
Sensor_0x53,28740,4.435,1.519,21.402,
Sensor_0x53,28774,-3.175,-1.381,-22.138,
Sensor_0x53,28809,0.205,0.259,9.402,
Sensor_0x53,28845,0.045,-0.211,8.072,
Sensor_0x53,28879,-2.385,-2.091,-18.758,
Sensor_0x53,28913,4.205,0.969,17.482,
Sensor_0x53,28949,-1.525,-0.831,-9.818,
Sensor_0x53,28983,-0.745,-0.521,-2.288,
Sensor_0x53,29019,3.495,0.729,13.012,
Sensor_0x53,29055,-1.135,-1.311,-17.198,
Sensor_0x53,29089,2.715,0.499,11.052,
Sensor_0x53,29125,0.595,-0.131,-0.958,
Sensor_0x53,29159,-0.505,-0.761,-8.568,
Sensor_0x53,29196,3.965,0.419,12.702,
Sensor_0x53,29231,-0.505,-1.381,-12.328,
Sensor_0x53,29266,2.085,0.029,6.102,
Sensor_0x53,29302,1.615,-0.441,3.052,
Sensor_0x53,29337,-0.195,-1.071,-10.678,
Sensor_0x53,29372,3.805,0.109,9.952,
Sensor_0x53,29408,7.265,159.519,168.662,
Sensor_0x53,29441,-33.295,-25.001,-0.408,
Sensor_0x53,29474,-13.295,3.399,6.342,
Sensor_0x53,29509,-14.465,0.499,-2.598,
Sensor_0x53,29543,-8.355,5.759,6.652,
Sensor_0x53,29577,-27.965,-7.421,3.992,
Sensor_0x53,29610,-13.135,0.499,12.622,
Sensor_0x53,29646,-11.335,1.279,9.402,
Sensor_0x53,29680,-11.335,0.729,8.222,
Sensor_0x53,29715,-11.255,0.809,8.382,
Sensor_0x53,29749,-12.115,0.969,7.832,
Sensor_0x53,29784,-10.465,0.499,6.892,
Sensor_0x53,29818,-25.535,1.209,-1.818,
Sensor_0x53,29851,-10.155,5.359,-10.128,
Sensor_0x53,29885,-161.175,24.579,-82.698,
Sensor_0x53,29917,-8.585,74.789,169.992,
Sensor_0x53,29948,-161.175,39.569,-9.508,
Sensor_0x53,29981,-102.965,-5.231,-51.238,
Sensor_0x53,30014,-5.445,12.029,127.392,
Sensor_0x53,30047,-71.505,-2.641,-64.968,
Sensor_0x53,30080,-68.915,-1.851,8.222,
Sensor_0x53,30114,-22.155,5.909,67.382,
Sensor_0x53,30147,-24.985,-2.641,-83.798,
Sensor_0x53,30180,-23.725,5.129,48.002,
Sensor_0x53,30216,-36.675,2.299,12.702,
Sensor_0x53,30249,-27.105,-1.701,-52.028,
Sensor_0x53,30282,3.495,6.379,63.452,
Sensor_0x53,30318,-26.005,-0.911,-33.748,
Sensor_0x53,30351,-23.175,1.439,-3.308,
Sensor_0x53,30385,-0.505,5.049,44.552,
Sensor_0x53,30419,-12.195,-1.461,-52.108,
Sensor_0x53,30452,-6.935,2.929,27.912,
Sensor_0x53,30488,-11.725,1.749,11.052,
Sensor_0x53,30521,-11.955,-0.991,-36.808,
Sensor_0x53,30556,5.455,4.579,39.762,
Sensor_0x53,30591,-10.625,0.029,-24.958,
Sensor_0x53,30624,-9.375,1.359,-0.958,
Sensor_0x53,30660,3.415,3.319,22.502,
Sensor_0x53,30694,-4.195,-0.211,-34.378,
Sensor_0x53,30730,2.475,3.239,23.912,
Sensor_0x53,30764,-4.815,1.129,-1.818,
Sensor_0x53,30799,-4.745,0.659,-13.738,
Sensor_0x53,30835,4.435,3.559,24.072,
Sensor_0x53,30870,-3.405,-0.131,-25.348,
Sensor_0x53,30904,1.065,2.769,14.112,
Sensor_0x53,30940,-2.075,2.069,1.952,
Sensor_0x53,30975,-3.015,0.109,-14.208,
Sensor_0x53,31010,4.595,3.719,18.742,
Sensor_0x53,31045,-2.305,0.659,-17.898,
