sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,617246,7.628,-9.081,10.538,
Sensor_0x53,617266,0.645,0.116,-0.04,
Sensor_0x1D,617280,5.828,-0.451,30.388,
Sensor_0x53,617299,-0.295,0.116,-0.04,
Sensor_0x1D,617313,-12.222,7.319,-34.812,
Sensor_0x53,617333,-0.055,-0.044,0.35,
Sensor_0x1D,617347,1.828,-3.901,-13.782,
Sensor_0x53,617368,0.255,0.116,-0.51,
Sensor_0x1D,617380,9.278,-6.571,37.678,
Sensor_0x53,617401,0.025,-0.194,0.12,
Sensor_0x1D,617414,-9.392,8.569,-17.232,
Sensor_0x53,617434,-0.055,-0.044,0.04,
Sensor_0x1D,617447,-2.252,0.019,-26.102,
Sensor_0x53,617468,0.175,0.116,-0.28,
Sensor_0x1D,617481,9.668,-9.081,33.448,
Sensor_0x53,617501,0.255,0.116,-0.51,
Sensor_0x1D,617514,-5.392,7.079,-4.842,
Sensor_0x53,617535,-0.135,0.036,0.12,
Sensor_0x1D,617548,-7.672,3.319,-35.042,
Sensor_0x53,617568,-0.135,-0.194,0.35,
Sensor_0x1D,617581,8.968,-9.941,23.008,
Sensor_0x53,617603,0.025,-0.194,-0.12,
Sensor_0x1D,617615,2.138,3.399,18.778,
Sensor_0x53,617637,0.255,0.116,0.04,
Sensor_0x1D,617647,2.218,-4.291,-12.372,
Sensor_0x53,617671,0.025,-0.194,0.04,
Sensor_0x1D,617680,9.278,-6.331,37.918,
Sensor_0x53,617705,0.105,0.116,0.19,
Sensor_0x1D,617715,8.098,-3.351,36.508,
Sensor_0x53,617738,-0.055,-0.044,0.19,
Sensor_0x1D,617749,-9.312,8.339,-18.882,
Sensor_0x53,617773,0.025,0.116,0.59,
Sensor_0x1D,617781,9.358,-9.861,26.778,
Sensor_0x53,617806,0.025,0.116,0.04,
Sensor_0x1D,617815,0.568,4.419,14.378,
Sensor_0x53,617840,0.335,0.116,-0.51,
Sensor_0x1D,617848,-10.022,5.279,-37.712,
Sensor_0x53,617873,-0.055,-0.194,0.04,
Sensor_0x1D,617881,8.418,-9.311,14.308,
Sensor_0x53,617907,-0.055,0.116,-0.04,
Sensor_0x1D,617915,5.118,1.039,27.718,
Sensor_0x53,617942,-0.055,-0.044,-0.04,
Sensor_0x1D,617948,-11.672,8.099,-31.042,
Sensor_0x53,617975,0.105,0.036,0.04,
Sensor_0x1D,617982,3.158,-4.921,-10.722,
Sensor_0x53,618008,0.495,0.036,0.04,
Sensor_0x1D,618015,9.038,-5.861,38.228,
Sensor_0x53,618042,0.335,-0.274,-0.12,
Sensor_0x1D,618049,-9.942,8.569,-20.292,
Sensor_0x53,618077,0.025,-0.274,-0.12,
Sensor_0x1D,618082,-1.552,-1.471,-22.882,
Sensor_0x53,618110,0.335,0.196,-0.2,
Sensor_0x1D,618116,9.118,-6.571,37.528,
Sensor_0x53,618144,0.105,-0.274,-0.12,
Sensor_0x1D,618149,-6.572,7.949,-7.902,
Sensor_0x53,618177,0.025,-0.124,0.04,
Sensor_0x1D,618183,-6.572,3.079,-33.322,
Sensor_0x53,618212,0.105,0.116,0.12,
Sensor_0x1D,618216,8.888,-9.941,25.598,
Sensor_0x53,618245,0.025,0.116,0.35,
Sensor_0x1D,618250,-2.642,6.139,5.678,
Sensor_0x53,618279,0.415,0.196,0.04,
Sensor_0x1D,618283,-9.942,5.749,-38.182,
Sensor_0x53,618312,-0.055,-0.124,-0.12,
Sensor_0x1D,618317,9.038,-9.941,22.938,
Sensor_0x53,618347,0.025,0.116,-0.2,
Sensor_0x1D,618350,1.908,3.469,18.618,
Sensor_0x53,618380,0.025,0.116,0.04,
Sensor_0x1D,618384,-11.902,7.319,-35.432,
Sensor_0x53,618414,-0.055,0.116,0.04,
Sensor_0x1D,618417,5.278,-7.041,-1.312,
Sensor_0x53,618449,-0.295,-0.124,-0.2,
Sensor_0x1D,618451,7.788,-3.741,36.738,
Sensor_0x53,618482,0.025,-0.124,-0.12,
Sensor_0x1D,618484,-9.392,8.649,-17.942,
Sensor_0x53,618516,0.105,-0.434,0.04,
Sensor_0x1D,618518,0.958,-3.271,-16.372,
Sensor_0x53,618549,0.255,0.116,-0.04,
Sensor_0x1D,618551,9.198,-7.431,37.058,
Sensor_0x53,618584,-0.135,0.116,-0.36,
Sensor_0x1D,618585,-2.172,5.749,6.298,
Sensor_0x53,618617,0.255,-0.124,-0.2,
Sensor_0x1D,618618,-7.672,3.469,-35.512,
Sensor_0x53,618651,-0.055,0.116,0.27,
Sensor_0x1D,618652,8.968,-9.861,21.838,
Sensor_0x53,618684,-0.055,-0.044,0.12,
Sensor_0x1D,618685,2.528,3.239,20.658,
Sensor_0x53,618718,0.105,0.116,0.19,
Sensor_0x1D,618719,-11.672,7.319,-34.882,
Sensor_0x53,618751,0.105,-0.044,-0.12,
Sensor_0x1D,618752,5.198,-7.041,-3.432,
Sensor_0x53,618786,0.415,0.116,0.04,
Sensor_0x1D,618786,6.218,-1.001,32.508,
Sensor_0x53,618819,0.025,-0.514,-0.2,
Sensor_0x1D,618819,-10.962,8.339,-26.332,
Sensor_0x53,618853,0.255,0.116,-0.28,
Sensor_0x1D,618853,1.198,-3.041,-16.922,
Sensor_0x53,618886,-0.055,0.196,-0.04,
Sensor_0x1D,618886,9.668,-7.431,37.368,
Sensor_0x1D,618920,-8.292,8.259,-14.172,
Sensor_0x53,618921,-0.135,-0.354,0.04,
Sensor_0x1D,618953,-4.062,0.729,-29.162,
Sensor_0x53,618954,-0.135,0.116,0.04,
Sensor_0x1D,618987,9.438,-9.631,30.468,
Sensor_0x53,618988,-0.135,-0.124,-0.2,
Sensor_0x1D,619020,-4.372,7.239,-0.292,
Sensor_0x53,619023,0.105,-0.194,0.04,
Sensor_0x1D,619054,-8.762,4.259,-37.082,
Sensor_0x53,619055,-0.055,0.116,-0.28,
Sensor_0x1D,619087,8.728,-9.781,17.988,
Sensor_0x53,619090,-0.135,-0.044,-0.2,
Sensor_0x1D,619121,3.398,2.529,23.878,
Sensor_0x53,619123,0.025,-0.044,-0.2,
Sensor_0x1D,619154,-11.902,7.709,-33.472,
Sensor_0x53,619157,0.025,0.116,-0.12,
Sensor_0x1D,619188,4.258,-5.781,-6.962,
Sensor_0x53,619190,0.175,0.116,0.19,
Sensor_0x1D,619221,6.928,-1.861,34.228,
Sensor_0x53,619225,0.335,0.116,-0.43,
Sensor_0x1D,619255,-10.022,8.489,-23.272,
Sensor_0x53,619258,0.415,0.036,0.35,
Sensor_0x1D,619288,-0.292,-2.101,-20.212,
Sensor_0x53,619292,0.025,-0.044,0.12,
Sensor_0x1D,619322,9.668,-7.511,36.188,
Sensor_0x53,619327,-0.445,-0.194,0.12,
Sensor_0x1D,619355,-7.192,8.339,-10.332,
Sensor_0x53,619360,0.105,0.116,0.04,
Sensor_0x1D,619388,-5.392,2.059,-31.512,
Sensor_0x53,619394,0.175,0.116,0.12,
Sensor_0x1D,619422,9.118,-6.571,37.678,
Sensor_0x53,619427,0.255,0.196,0.04,
Sensor_0x1D,619455,-5.942,8.259,-7.192,
Sensor_0x53,619462,0.025,-0.194,-0.04,
Sensor_0x1D,619489,-6.652,2.999,-33.942,
Sensor_0x53,619495,-0.135,-0.124,-0.12,
Sensor_0x1D,619522,9.278,-10.181,24.818,
Sensor_0x53,619529,-0.135,-0.124,-0.04,
Sensor_0x1D,619556,-2.102,5.749,6.538,
Sensor_0x53,619562,0.255,0.116,-0.2,
Sensor_0x1D,619589,-10.332,5.749,-38.102,
Sensor_0x53,619597,0.025,-0.044,-0.2,
Sensor_0x1D,619623,8.418,-9.001,10.768,
Sensor_0x53,619630,-0.055,-0.044,0.12,
Sensor_0x1D,619656,5.668,-0.061,30.148,
Sensor_0x53,619664,-0.055,0.116,-0.04,
Sensor_0x1D,619690,-11.982,7.629,-34.572,
Sensor_0x53,619697,0.175,0.116,0.19,
Sensor_0x1D,619723,4.728,-6.491,-4.292,
Sensor_0x53,619732,0.025,0.116,-0.12,
Sensor_0x1D,619756,6.528,-1.311,33.288,
Sensor_0x53,619765,0.025,-0.354,0.04,
Sensor_0x1D,619788,-3.272,0.649,-27.282,
Sensor_0x53,619799,0.025,-0.044,0.19,
