sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,78169385,-0.27,0.1,-0.067,
Sensor_0x53,78169796,0.148,-0.489,-0.025,
Sensor_0x1D,78170584,0.044,0.1,-0.067,
Sensor_0x53,78170827,-0.008,0.374,0.21,
Sensor_0x1D,78171775,-0.035,0.022,-0.067,
Sensor_0x53,78171870,-0.558,-0.332,-0.104,
Sensor_0x53,78172903,-0.087,0.139,0.288,
Sensor_0x1D,78172917,-0.113,-0.135,-0.067,
Sensor_0x53,78173943,-0.087,0.139,-0.104,
Sensor_0x1D,78174073,-0.113,0.257,0.169,
Sensor_0x53,78174980,0.305,0.06,-0.418,
Sensor_0x1D,78175225,-0.191,0.022,0.012,
Sensor_0x53,78176019,-0.165,-0.097,0.053,
Sensor_0x1D,78176381,-0.191,0.336,0.169,
Sensor_0x53,78177051,0.305,0.217,-0.261,
Sensor_0x1D,78177527,-0.191,0.022,-0.067,
Sensor_0x53,78178122,-0.008,0.139,-0.025,
Sensor_0x1D,78178713,-0.113,0.1,-0.067,
Sensor_0x53,78179154,-0.008,-0.175,-0.182,
Sensor_0x1D,78179866,-0.035,-0.135,-0.067,
Sensor_0x53,78180197,-0.008,-0.097,-0.025,
Sensor_0x1D,78181065,0.044,-0.056,-0.067,
Sensor_0x53,78181235,-0.008,-0.097,-0.025,
Sensor_0x1D,78182245,0.044,0.1,-0.067,
Sensor_0x53,78182276,-0.165,0.374,0.21,
Sensor_0x53,78183307,-0.165,-0.332,-0.182,
Sensor_0x1D,78183407,0.044,0.179,0.404,
Sensor_0x53,78184378,-0.087,0.374,0.21,
Sensor_0x1D,78184576,-0.035,0.179,-0.067,
Sensor_0x53,78185411,-0.008,-0.175,-0.025,
Sensor_0x1D,78185719,-0.113,0.1,-0.145,
Sensor_0x53,78186490,-0.087,-0.097,0.288,
Sensor_0x1D,78186883,0.044,0.414,-0.067,
Sensor_0x53,78187527,-0.008,-0.332,0.21,
Sensor_0x1D,78188061,0.044,-0.056,-0.067,
Sensor_0x53,78188567,0.541,0.217,0.288,
Sensor_0x1D,78189242,-0.191,0.1,-0.067,
Sensor_0x53,78189600,0.227,0.688,-0.496,
Sensor_0x1D,78190437,0.122,-0.213,0.482,
Sensor_0x53,78190637,-0.008,0.217,-0.025,
Sensor_0x1D,78191626,-0.113,0.179,-0.067,
